molecule_id,molecular_weight,logP,num_hydrogen_bond_donors,num_hydrogen_bond_acceptors,topological_polar_surface_area,rotatable_bonds,aromatic_rings,bioactivity_score,toxicity_risk_level,drug_likeness,binding_affinity_kcal_mol,clinical_trial_phase_prediction
31,304.87,0.46,5,4,85.85,10,0,0.929,Low,No,-7.77,Phase I
32,488.92,1.39,0,9,78.68,1,3,0.585,Medium,No,-9.08,Preclinical
33,348.99,4.38,0,11,184.73,11,4,0.837,Medium,Yes,-8.65,Phase II
34,270.67,2.17,5,5,117.2,11,5,0.658,Medium,Yes,-5.03,Preclinical
35,411.69,2.21,1,7,102.39,11,3,0.734,High,Yes,-7.29,Preclinical
36,258.44,2.14,2,1,83.0,3,4,0.775,High,Yes,-7.95,Preclinical
37,365.66,4.78,1,6,76.46,3,4,0.622,High,Yes,-7.95,Phase I
38,203.02,4.45,1,8,86.08,12,0,0.769,High,Yes,-7.5,Phase II
39,250.39,5.16,1,1,98.78,14,0,0.325,Medium,No,-6.42,Preclinical
40,364.76,2.31,5,9,33.59,10,3,-0.107,High,No,-7.21,Phase III
41,405.38,2.85,5,3,42.92,9,0,0.663,High,Yes,-7.18,Preclinical
42,362.85,0.68,5,1,70.89,11,0,0.594,Medium,Yes,-8.88,Preclinical
43,341.33,4.27,1,1,96.21,12,5,0.281,Low,No,-7.94,Phase I
44,327.42,1.1,2,11,82.82,7,2,0.184,Low,No,-7.27,Phase II
45,239.11,2.76,0,6,134.34,13,3,0.533,Medium,No,-7.55,Phase III
46,296.01,1.18,4,11,45.53,12,3,0.679,Low,No,-8.12,Phase II
47,315.45,1.79,0,6,67.46,12,3,0.63,Medium,No,-8.26,Preclinical
48,429.28,1.5,0,1,135.6,2,0,0.245,Low,Yes,-6.85,Phase III
49,375.77,1.77,4,3,93.93,11,5,0.301,Low,Yes,-6.81,Phase III
50,217.77,1.85,1,7,116.55,12,0,0.667,Medium,No,-6.02,Preclinical
51,374.31,1.84,2,10,151.54,14,4,0.518,High,Yes,-7.21,Phase I
52,321.12,3.5,2,3,69.19,12,1,0.765,Low,No,-10.61,Phase I
53,299.23,1.17,0,3,87.02,11,1,0.419,High,Yes,-3.96,Phase I
54,395.88,2.76,4,3,81.83,2,1,0.685,Medium,No,-7.51,Phase III
55,427.32,3.96,3,7,31.36,12,2,0.49,Low,Yes,-8.12,Preclinical
56,419.85,1.88,1,4,80.69,1,0,0.319,Low,Yes,-7.59,Phase I
57,287.06,1.64,0,4,116.43,0,4,0.732,Low,Yes,-8.09,Preclinical
58,326.81,2.22,2,3,106.22,7,4,0.252,Low,No,-8.73,Phase I
59,374.84,3.92,5,10,108.57,13,1,0.519,Low,Yes,-6.58,Phase II
60,423.17,2.73,5,11,78.73,8,5,0.544,Low,No,-7.72,Preclinical
61,314.06,1.86,4,9,70.32,8,2,0.47,Low,No,-7.63,Preclinical
62,336.08,3.08,4,2,128.08,10,2,0.748,Medium,No,-11.25,Phase III
63,267.02,1.18,0,4,75.08,7,1,0.643,Medium,No,-7.84,Phase II
64,260.28,3.32,3,8,98.82,4,1,0.613,Medium,Yes,-9.11,Phase I
65,410.94,2.99,2,6,94.9,0,0,0.517,Low,Yes,-8.28,Preclinical
66,451.72,2.13,0,7,133.85,8,5,0.964,Medium,Yes,-7.15,Phase I
67,344.6,1.49,3,7,119.14,5,2,0.866,High,No,-8.42,Phase II
68,425.26,1.44,4,2,51.14,11,4,0.73,Medium,No,-8.21,Phase II
69,377.12,3.14,5,4,54.37,14,1,0.689,High,Yes,-7.36,Preclinical
70,301.62,3.97,1,10,107.37,6,0,0.349,Medium,Yes,-8.26,Phase II
71,377.1,1.74,5,10,88.07,7,4,0.488,Medium,Yes,-9.08,Preclinical
72,465.35,3.05,2,6,76.34,12,2,0.659,Medium,Yes,-10.08,Preclinical
73,347.31,-0.0,2,3,120.47,4,1,0.763,Low,Yes,-7.0,Phase I
74,467.35,1.8,5,9,95.62,5,5,0.723,Low,Yes,-8.27,Preclinical
75,153.52,2.46,5,4,91.57,11,1,0.645,Low,Yes,-10.0,Preclinical
76,411.64,1.41,3,10,113.39,12,5,1.0,Low,Yes,-5.63,Phase II
77,356.53,1.38,0,2,78.75,6,0,0.466,Low,Yes,-6.99,Phase I
78,327.57,1.7,4,6,137.06,6,0,0.753,High,Yes,-9.28,Phase II
79,356.88,2.85,3,1,66.36,1,2,0.723,Low,Yes,-8.56,Phase II
80,200.93,2.28,1,6,109.71,13,5,0.611,High,Yes,-5.93,Phase II
81,333.52,-0.19,5,10,133.01,10,1,0.62,Medium,Yes,-7.76,Preclinical
82,376.78,-0.04,1,1,48.68,11,0,0.615,Low,Yes,-8.13,Preclinical
83,460.84,1.77,1,8,79.7,13,1,0.323,Low,Yes,-6.37,Phase I
84,311.13,3.05,3,5,124.27,0,2,0.6,Low,Yes,-7.75,Preclinical
85,289.36,-0.8,4,6,124.72,7,5,0.687,High,No,-5.66,Phase II
86,312.37,1.9,2,2,84.86,4,1,0.58,Medium,Yes,-8.12,Phase I
87,418.66,1.87,0,2,67.96,9,4,0.039,Low,Yes,-8.36,Preclinical
88,374.66,4.17,2,9,118.68,14,1,0.103,High,Yes,-7.48,Phase I
89,310.27,2.04,4,3,125.51,1,3,0.295,Medium,Yes,-6.05,Phase III
90,388.5,2.96,2,6,55.06,2,3,0.472,Low,No,-7.13,Preclinical
91,357.28,2.67,5,10,53.88,5,2,0.309,Medium,Yes,-7.34,Preclinical
92,422.65,-0.06,5,5,96.76,9,2,0.661,Medium,Yes,-8.71,Phase II
93,297.35,3.42,3,4,108.88,5,2,0.798,Low,Yes,-8.93,Preclinical
94,325.43,2.76,1,10,81.03,7,4,0.833,Medium,Yes,-6.05,Preclinical
95,320.59,3.11,4,2,110.38,4,5,0.584,Low,Yes,-5.89,Preclinical
96,240.24,7.21,4,8,68.7,4,4,0.771,Low,Yes,-5.94,Phase I
97,372.21,-0.0,2,10,26.56,6,1,0.359,Low,Yes,-6.31,Phase I
98,369.58,4.57,3,7,77.28,9,0,0.462,High,Yes,-6.83,Phase I
99,350.38,2.16,2,11,91.9,12,5,0.208,Medium,No,-6.85,Phase III
100,332.41,2.84,2,2,81.72,13,3,0.802,Low,No,-7.3,Phase II
101,243.85,2.45,4,6,55.24,14,3,0.991,Low,Yes,-6.66,Phase III
102,318.45,1.99,2,8,35.53,4,3,0.413,Low,Yes,-7.56,Phase I
103,324.3,1.82,1,7,74.58,14,1,-0.043,Medium,Yes,-6.66,Preclinical
104,289.83,2.9,2,1,116.93,8,1,0.261,Low,Yes,-6.12,Phase III
105,337.9,0.68,1,5,127.69,5,2,0.337,Medium,No,-9.39,Preclinical
106,380.3,3.4,4,2,125.63,6,0,0.168,High,Yes,-5.86,Phase II
107,491.46,2.0,3,6,65.52,11,2,0.242,Medium,Yes,-7.59,Preclinical
108,363.09,1.14,5,7,55.39,7,1,0.551,Low,Yes,-5.31,Phase II
109,369.32,1.96,1,7,104.9,12,4,0.665,Low,No,-5.59,Phase III
110,344.42,4.01,3,3,109.05,4,2,-0.016,Low,Yes,-9.05,Preclinical
111,206.09,1.86,3,7,102.01,13,5,0.367,Medium,No,-7.5,Preclinical
112,348.01,2.93,1,5,29.58,10,1,0.509,Medium,No,-10.3,Preclinical
113,354.52,1.62,4,8,63.99,3,1,0.233,Medium,Yes,-8.08,Phase I
114,534.74,3.41,0,8,89.11,14,4,0.559,Low,No,-6.97,Preclinical
115,335.57,3.32,3,7,104.62,11,4,0.471,High,Yes,-6.23,Phase II
116,372.62,4.72,3,6,113.02,14,4,0.388,Low,No,-7.4,Preclinical
117,347.4,2.29,4,2,94.33,7,0,0.284,Low,No,-6.84,Preclinical
118,262.35,3.3,4,6,99.92,11,5,0.568,Medium,Yes,-8.55,Phase I
119,435.71,2.62,2,11,92.55,9,1,0.309,Low,Yes,-7.53,Phase I
120,406.39,4.06,4,9,110.57,8,4,0.067,Medium,No,-8.39,Preclinical
121,409.33,1.64,3,2,99.39,0,0,0.506,Medium,Yes,-7.08,Phase II
122,281.8,3.39,1,1,91.97,2,3,0.19,Medium,Yes,-5.42,Phase III
123,455.21,2.27,0,11,81.95,11,5,0.088,Low,Yes,-7.59,Preclinical
124,244.86,2.42,2,5,92.44,3,3,0.532,Low,No,-9.56,Preclinical
125,394.01,2.61,1,11,104.54,12,3,0.459,Low,No,-7.21,Phase II
126,514.28,2.8,0,6,98.02,6,1,0.283,Low,Yes,-6.44,Preclinical
127,275.71,2.36,0,3,101.42,5,0,0.557,High,No,-8.88,Preclinical
128,307.53,2.76,0,8,130.28,9,0,0.606,Medium,Yes,-5.64,Phase I
129,357.47,4.39,5,7,97.95,9,3,0.56,Low,No,-8.39,Preclinical
130,312.24,3.68,1,2,70.53,10,5,0.551,High,Yes,-8.64,Preclinical
131,233.7,3.54,2,7,116.51,0,2,0.099,Medium,Yes,-10.17,Phase III
132,355.14,1.95,2,1,49.01,3,3,0.823,Low,Yes,-7.1,Preclinical
133,270.33,1.43,0,9,57.56,5,1,0.639,Low,Yes,-4.78,Phase III
134,385.52,3.65,1,7,100.08,2,3,0.262,Low,Yes,-6.95,Preclinical
135,281.04,3.55,5,6,105.49,14,5,0.497,High,No,-8.6,Phase II
136,466.25,4.27,0,2,52.65,1,5,0.545,Medium,Yes,-6.73,Phase I
137,291.26,1.78,4,3,78.52,1,3,0.49,High,No,-6.3,Preclinical
138,325.85,2.22,2,1,71.82,9,0,0.948,Low,Yes,-5.76,Phase II
139,411.01,0.53,3,10,75.4,11,3,0.014,High,No,-9.35,Phase III
140,257.69,2.03,0,5,118.31,11,4,0.131,Low,Yes,-5.17,Preclinical
141,367.06,3.7,4,9,111.2,3,4,-0.075,High,No,-7.18,Phase II
142,448.04,1.94,2,6,89.43,12,2,0.52,High,No,-4.87,Phase I
143,229.44,3.27,5,5,73.62,0,1,0.636,Low,No,-7.27,Phase II
144,363.85,2.27,1,3,49.51,14,1,0.59,Medium,No,-6.63,Phase II
145,369.49,2.89,2,5,132.61,9,0,0.428,Medium,Yes,-8.92,Preclinical
146,408.64,1.12,1,8,107.76,1,1,0.602,High,Yes,-6.02,Preclinical
147,257.23,2.6,1,2,68.8,12,2,0.426,Low,No,-9.12,Phase I
148,250.97,-1.09,5,5,111.59,9,4,0.685,Low,No,-7.1,Phase III
149,389.15,2.28,5,6,87.89,14,0,0.777,High,Yes,-8.15,Preclinical
150,372.27,0.54,0,10,81.39,1,5,0.267,Medium,Yes,-7.63,Phase I
151,368.79,3.95,0,8,103.06,3,4,0.428,Low,No,-5.87,Preclinical
152,375.98,3.43,2,8,67.76,3,2,0.469,Medium,Yes,-8.03,Phase II
153,299.0,3.06,5,5,79.69,0,0,0.856,Low,Yes,-5.84,Phase I
154,367.42,4.33,4,9,93.64,6,3,0.297,Medium,Yes,-8.11,Phase II
155,371.98,1.36,2,4,75.02,6,1,0.774,Low,Yes,-7.3,Phase III
156,296.42,4.6,3,9,110.07,9,2,0.133,Low,Yes,-4.28,Preclinical
157,489.93,3.62,1,11,146.07,10,0,0.811,Low,No,-7.32,Preclinical
158,385.54,2.22,1,7,67.37,9,4,0.713,Low,No,-7.61,Phase III
159,260.65,3.86,0,6,40.05,9,0,0.461,Medium,No,-7.29,Preclinical
160,399.24,1.17,4,4,29.95,0,3,0.729,Medium,No,-8.0,Phase II
161,276.9,1.51,5,2,85.49,10,2,0.375,Low,Yes,-9.0,Phase II
162,409.03,1.77,5,8,70.11,7,0,0.269,Low,No,-4.41,Phase II
163,436.89,1.87,0,6,96.24,9,5,0.927,Medium,No,-8.11,Preclinical
164,288.45,1.23,3,3,93.98,13,2,0.365,Low,No,-9.78,Preclinical
165,422.25,3.97,2,7,41.9,13,2,0.669,Medium,No,-7.73,Phase II
166,380.96,2.19,2,10,35.55,6,4,0.777,Medium,Yes,-6.96,Preclinical
167,411.65,2.92,4,7,98.88,6,1,0.702,High,Yes,-7.81,Phase II
168,492.26,1.82,0,6,94.06,10,5,0.65,Medium,Yes,-7.57,Phase I
169,331.6,0.32,0,2,77.23,5,3,0.67,Low,No,-7.75,Preclinical
170,293.47,2.82,3,8,40.29,11,0,0.764,Medium,Yes,-6.86,Preclinical
171,283.29,0.21,2,1,104.14,3,1,0.579,High,No,-6.27,Phase III
172,288.81,2.42,0,1,128.16,10,4,0.49,Low,Yes,-7.79,Phase I
173,344.22,0.86,5,6,98.34,7,1,0.158,High,No,-3.62,Phase I
174,375.59,4.88,4,5,64.58,1,2,0.58,Medium,Yes,-5.94,Phase III
175,370.75,3.59,2,9,91.34,6,2,0.757,Low,Yes,-7.51,Phase II
176,412.04,2.63,3,7,49.02,2,3,0.225,Low,Yes,-9.48,Phase III
177,350.98,4.02,4,2,121.74,13,5,0.443,Medium,Yes,-7.33,Preclinical
178,459.02,1.48,1,7,92.46,2,0,0.606,Low,Yes,-6.28,Phase II
179,330.15,3.15,5,3,36.96,13,0,0.878,Low,No,-6.27,Preclinical
180,554.01,2.74,3,1,80.98,6,4,0.21,Low,Yes,-10.28,Phase II
181,396.93,2.82,4,11,103.9,11,3,0.698,Low,No,-7.33,Phase III
182,285.71,4.03,0,8,80.01,2,0,0.411,Low,Yes,-8.22,Preclinical
183,269.68,3.38,1,3,81.72,14,5,0.332,Medium,No,-5.25,Phase I
184,386.19,2.85,3,11,53.27,14,2,0.27,Low,Yes,-7.31,Phase II
185,333.24,0.51,0,8,107.0,4,3,0.336,High,No,-10.93,Preclinical
186,403.55,1.35,5,7,70.55,7,1,0.625,Low,Yes,-6.95,Phase II
187,385.49,2.35,1,2,25.31,13,3,0.443,Low,No,-10.42,Preclinical
188,344.54,2.61,2,1,78.86,12,3,0.679,Low,No,-6.82,Phase III
189,286.49,1.14,0,7,119.43,3,5,0.22,Low,Yes,-3.62,Preclinical
190,236.39,5.39,4,1,78.39,6,5,0.674,Low,Yes,-5.46,Phase I
191,316.51,4.32,3,6,142.14,6,0,0.608,Medium,No,-7.11,Preclinical
192,414.23,3.22,1,11,102.87,1,4,0.123,Medium,Yes,-8.49,Preclinical
193,366.06,2.59,0,10,100.16,13,4,0.877,Low,Yes,-5.59,Phase I
194,256.57,2.25,2,11,86.15,7,5,0.585,Low,Yes,-6.55,Phase I
195,362.99,1.36,3,10,87.95,9,0,0.691,Low,Yes,-7.9,Preclinical
196,378.9,2.59,3,8,82.1,11,0,0.789,Medium,Yes,-8.31,Phase III
197,283.71,2.81,0,7,80.93,9,0,0.742,Medium,Yes,-8.86,Preclinical
198,361.53,1.01,2,4,105.93,14,5,0.468,Low,No,-6.94,Phase II
199,354.37,2.9,5,1,61.93,13,4,0.681,Low,Yes,-8.13,Phase I
200,264.28,2.31,5,1,57.72,8,0,0.047,High,Yes,-7.25,Phase I
201,376.83,0.21,1,4,56.3,5,5,0.598,Low,No,-6.11,Preclinical
202,392.06,1.47,0,5,151.37,13,1,0.933,Medium,Yes,-8.16,Phase I
203,431.23,2.0,1,7,105.91,4,1,0.326,Low,No,-6.53,Phase I
204,429.04,4.77,5,4,99.13,0,2,0.729,Medium,No,-5.67,Preclinical
205,246.67,3.17,3,10,58.27,0,1,0.943,High,Yes,-6.91,Preclinical
206,279.66,0.9,1,1,108.7,8,3,0.672,High,Yes,-6.45,Preclinical
207,388.63,3.08,2,11,86.5,13,2,0.756,Medium,No,-6.9,Preclinical
208,388.53,0.64,4,10,96.43,3,1,0.108,Low,No,-7.48,Preclinical
209,388.63,3.8,5,7,60.7,0,3,0.266,Low,Yes,-6.24,Preclinical
210,638.95,1.93,5,2,94.81,10,1,0.857,Low,Yes,-5.09,Phase II
211,392.82,2.39,2,11,77.28,9,5,0.74,High,Yes,-6.22,Preclinical
212,435.17,4.09,1,2,67.03,11,3,0.624,Medium,Yes,-7.79,Preclinical
213,421.55,0.96,0,8,112.02,2,0,0.434,Low,Yes,-7.75,Preclinical
214,398.85,0.82,3,10,43.87,5,5,0.571,Low,Yes,-7.7,Phase I
215,326.35,1.8,4,10,106.94,13,3,0.935,Medium,No,-6.08,Preclinical
216,406.92,3.75,0,10,110.53,10,5,0.475,High,Yes,-8.29,Phase II
217,292.04,0.68,0,5,63.61,12,0,0.675,Medium,No,-9.04,Phase II
218,332.24,-0.9,2,10,65.39,12,3,0.668,Low,Yes,-6.8,Phase I
219,313.6,1.96,1,2,83.31,10,3,0.334,Low,Yes,-7.47,Preclinical
220,356.14,3.16,5,5,98.46,7,5,0.353,Low,Yes,-5.28,Phase I
221,523.6,3.94,5,8,85.41,12,1,0.882,High,Yes,-10.88,Preclinical
222,209.96,1.94,2,6,103.01,9,3,0.643,High,Yes,-7.19,Phase III
223,401.47,2.01,1,3,142.89,1,1,0.33,High,No,-8.11,Phase II
224,229.05,3.88,2,8,74.77,7,3,0.422,Medium,Yes,-6.28,Phase I
225,314.61,0.26,5,9,38.54,13,4,0.254,Medium,No,-7.92,Phase III
226,431.67,2.03,0,5,114.78,12,2,0.767,Medium,Yes,-8.36,Phase I
227,354.82,2.73,3,2,140.5,0,1,0.437,Medium,Yes,-6.1,Preclinical
228,269.17,3.04,1,2,101.78,10,1,0.44,Medium,Yes,-5.58,Preclinical
229,296.35,1.89,4,7,57.37,1,0,0.71,Low,No,-7.65,Phase I
230,400.97,2.54,4,1,86.28,7,4,0.08,Medium,Yes,-7.62,Phase III
231,295.22,-0.49,0,10,56.44,6,0,0.491,Low,Yes,-5.59,Phase III
232,366.23,1.71,2,2,109.29,4,4,0.497,Low,No,-5.76,Phase I
233,353.42,3.04,2,10,49.46,14,4,0.429,Medium,No,-5.95,Preclinical
234,301.13,1.32,5,4,81.0,12,5,0.363,High,Yes,-8.1,Phase II
235,510.8,2.57,0,1,59.87,9,5,0.322,Medium,No,-8.49,Phase II
236,397.54,3.04,5,4,93.8,1,5,0.571,Low,Yes,-5.05,Phase I
237,198.11,2.09,5,11,79.01,8,3,0.247,High,No,-6.59,Phase I
238,363.98,2.7,4,10,95.3,4,0,0.54,Medium,Yes,-8.61,Phase II
239,300.37,1.34,5,5,90.67,7,2,0.362,Low,Yes,-7.66,Phase III
240,413.93,2.25,5,9,60.4,12,4,0.378,Medium,Yes,-7.37,Phase II
241,290.56,3.23,4,1,108.81,3,4,0.549,Low,Yes,-7.66,Preclinical
242,341.39,2.69,2,5,88.54,13,1,0.376,Low,Yes,-7.94,Preclinical
243,387.87,1.8,1,2,60.34,8,3,0.817,High,No,-5.65,Phase III
244,414.93,2.77,3,9,157.23,9,2,0.465,Low,No,-6.71,Phase II
245,259.98,3.36,5,6,104.29,6,5,0.762,Low,Yes,-4.12,Preclinical
246,324.91,0.04,1,2,85.4,1,4,0.31,Low,Yes,-5.57,Phase I
247,314.38,3.89,4,3,132.46,2,1,0.304,Low,Yes,-7.3,Phase III
248,301.0,2.1,1,8,145.25,13,0,0.084,Low,Yes,-5.37,Phase III
249,482.41,3.01,3,1,85.64,1,4,0.377,Low,No,-6.97,Phase II
250,380.37,3.94,1,3,100.42,4,1,0.442,Low,Yes,-3.87,Preclinical
251,255.43,0.85,1,10,60.36,1,0,0.519,Low,Yes,-7.97,Phase II
252,418.84,1.65,1,1,85.58,4,3,0.674,Low,Yes,-6.82,Preclinical
253,509.16,2.15,1,11,84.03,12,5,0.656,Low,Yes,-8.4,Phase III
254,427.43,1.56,0,11,95.54,8,0,0.784,Medium,Yes,-8.07,Preclinical
255,236.05,4.58,5,8,99.98,1,4,0.278,Medium,Yes,-8.01,Phase II
256,313.68,1.47,4,1,106.79,8,2,0.508,Low,Yes,-5.65,Phase I
257,445.02,1.83,3,5,97.13,6,0,0.25,Medium,Yes,-7.19,Phase II
258,296.92,2.75,4,4,53.68,6,2,0.604,High,Yes,-11.19,Phase I
259,383.29,1.06,0,7,61.85,13,2,0.951,High,Yes,-7.36,Preclinical
260,408.1,2.03,0,5,73.61,4,0,0.201,Low,Yes,-8.96,Phase II
261,280.48,2.88,0,8,81.53,7,3,0.672,Medium,No,-8.16,Preclinical
262,345.54,2.1,5,11,121.52,6,0,0.762,Low,Yes,-5.77,Preclinical
263,106.9,2.39,0,1,55.11,5,1,0.277,Low,No,-9.52,Phase III
264,273.17,1.86,1,5,79.28,1,5,0.609,Low,Yes,-9.34,Phase I
265,331.06,0.68,4,4,118.59,5,2,0.41,Low,Yes,-9.99,Phase II
266,256.42,2.89,2,3,81.0,13,5,0.47,Medium,Yes,-8.08,Phase I
267,472.43,4.61,3,5,103.81,1,4,0.402,Medium,Yes,-10.03,Phase II
268,242.74,2.52,0,10,85.81,0,2,0.444,Medium,No,-9.91,Phase II
269,317.0,2.77,4,3,97.7,8,4,0.789,Low,Yes,-7.84,Phase II
270,359.81,3.33,0,8,83.15,12,1,0.48,Low,Yes,-7.03,Phase III
271,458.1,0.98,5,3,110.01,4,1,0.35,Low,No,-8.87,Phase I
272,242.31,4.54,0,1,43.65,9,5,0.517,Low,Yes,-6.96,Phase II
273,437.24,2.74,0,9,79.1,9,1,-0.031,High,Yes,-7.33,Phase II
274,350.77,4.46,0,9,98.9,3,0,0.296,Medium,Yes,-6.69,Preclinical
275,276.39,1.62,0,6,106.01,11,2,0.812,High,Yes,-9.06,Phase I
276,384.66,4.68,3,10,134.79,10,4,0.464,Medium,Yes,-4.52,Phase III
277,364.93,3.43,4,1,78.27,7,5,0.38,Low,Yes,-9.21,Preclinical
278,304.98,3.16,5,8,134.38,14,5,0.543,Low,No,-8.44,Preclinical
279,355.24,2.78,0,2,70.23,4,1,0.684,Low,No,-6.73,Phase I
280,321.1,2.2,0,9,129.86,13,1,0.832,Low,Yes,-7.32,Preclinical
281,358.51,3.94,0,8,114.52,6,4,0.387,Medium,Yes,-6.23,Phase III
282,399.66,2.67,0,3,62.6,2,2,0.393,Low,Yes,-7.96,Preclinical
283,468.95,0.14,1,5,99.21,14,2,0.444,Low,Yes,-9.34,Preclinical
284,257.16,1.16,1,9,88.46,7,5,0.757,Medium,Yes,-9.79,Phase II
285,509.98,2.28,2,1,108.77,7,4,0.514,High,No,-4.83,Preclinical
286,203.59,2.87,0,9,83.3,2,5,1.041,Low,No,-7.95,Phase II
287,338.62,2.43,2,4,80.78,8,3,0.46,Medium,Yes,-7.75,Phase II
288,394.12,3.96,3,4,131.07,13,2,0.941,Low,Yes,-4.8,Phase II
289,371.07,0.16,2,4,87.04,7,4,0.277,Medium,Yes,-8.24,Phase II
290,303.3,2.67,4,10,114.79,0,4,0.153,Low,Yes,-7.46,Preclinical
291,334.39,0.32,1,9,83.24,7,5,0.475,Low,Yes,-9.05,Preclinical
292,313.02,3.41,1,6,140.0,11,1,0.785,Medium,Yes,-9.47,Preclinical
293,305.8,2.39,0,11,69.65,10,4,0.381,Low,Yes,-4.67,Preclinical
294,413.72,3.0,0,8,71.58,14,5,0.346,Medium,Yes,-4.64,Phase I
295,376.78,1.46,3,4,135.74,3,0,0.756,High,Yes,-5.97,Preclinical
296,298.03,4.04,5,3,76.65,5,1,0.676,Low,No,-6.02,Phase I
297,417.47,3.75,3,1,138.03,13,1,0.302,Medium,Yes,-6.37,Preclinical
298,373.05,3.2,4,10,116.76,12,2,0.287,Medium,Yes,-8.61,Phase I
299,410.96,2.34,0,7,85.36,9,3,0.707,Low,Yes,-7.06,Preclinical
300,397.22,3.2,0,4,35.6,8,2,0.092,Medium,Yes,-8.26,Preclinical
301,287.83,1.65,3,8,89.42,4,0,0.77,Medium,No,-11.38,Phase I
302,307.99,3.53,3,3,93.05,6,5,0.673,Medium,Yes,-5.82,Phase II
303,406.05,4.48,3,1,125.02,12,1,-0.07,High,No,-6.67,Phase II
304,395.78,3.78,1,5,137.65,14,1,0.504,Medium,Yes,-9.48,Phase III
305,348.43,1.62,2,2,69.45,0,4,0.005,High,Yes,-8.04,Phase II
306,358.8,2.93,2,3,114.04,8,3,0.199,Medium,Yes,-5.92,Phase II
307,445.82,0.95,0,6,112.96,13,3,0.374,Low,No,-7.3,Preclinical
308,305.63,3.19,1,3,122.2,5,4,0.183,Low,Yes,-10.05,Preclinical
309,391.03,3.04,3,3,104.96,10,0,1.055,Low,No,-9.32,Phase II
310,334.84,0.26,0,6,31.73,3,3,0.716,Medium,Yes,-4.71,Preclinical
311,333.67,1.11,1,5,85.34,5,1,0.842,Medium,Yes,-7.4,Preclinical
312,432.41,2.16,4,10,55.33,4,0,0.465,Low,Yes,-5.91,Preclinical
313,411.91,2.14,5,9,83.92,2,2,0.508,Low,Yes,-4.74,Preclinical
314,411.01,1.05,1,1,119.4,6,2,0.895,Low,Yes,-8.19,Phase II
315,447.91,2.97,0,3,99.15,2,0,0.608,Low,Yes,-6.97,Preclinical
316,351.58,2.8,2,3,124.44,12,1,0.653,Medium,Yes,-10.45,Phase I
317,401.15,2.27,3,11,100.25,13,2,0.272,Medium,No,-8.41,Preclinical
318,326.73,1.59,5,6,51.05,14,5,0.271,High,No,-6.64,Phase II
319,374.31,3.76,4,8,14.37,12,1,0.565,Low,No,-7.79,Phase II
320,340.24,4.49,5,3,94.46,1,4,0.593,Medium,Yes,-6.82,Preclinical
